project_root,mapper_interface,method_name,param_count,source_file,line_number
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryPostcodeMapper","deletePostcodeByDeliveryId",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryPostcodeMapper.java",80
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryPostcodeMapper","deleteSendTheByDeliveryId",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryPostcodeMapper.java",88
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinBillAdjustingLogMapper","selectFinBillAdjustingReportVo",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinBillAdjustingLogMapper.java",37
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinBillInfoMapper","countFinBillInfoRefundPlanning",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinBillInfoMapper.java",141
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinBillInfoMapper","selectFinBillInfoRenewByWaybillId",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinBillInfoMapper.java",157
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinBillInfoMapper","updateFinBillinfoByLostSatus",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinBillInfoMapper.java",163
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinBillInfoMapper","updateFinBillinfoByTimeOutSatus",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinBillInfoMapper.java",187
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","deleteMisCollectGenerationBillDetailById",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",60
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","deleteMisCollectGenerationBillDetailByIds",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",68
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","insertMisCollectGenerationBillDetail",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",44
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","selectByWaybillNo",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",80
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","selectMisCollectGenerationBillDetailById",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",27
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","selectMisCollectGenerationBillDetailList",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",36
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationBillDetailMapper","updateMisCollectGenerationBillDetail",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationBillDetailMapper.java",52
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCollectGenerationPriceMapper","selectByServiceId",2,"cirro-system/src/main/java/com/cds/finance/mapper/FinCollectGenerationPriceMapper.java",66
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCourierCompanyBillDetailMapper","selectAdjustmentAmount",1,"cirro-system/src/main/java/com/cds/finance/mapper/FinCourierCompanyBillDetailMapper.java",75
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.FinCourierCompanyBillDetailMapper","selectByBillIdAndWaybillNo",2,"cirro-system/src/main/java/com/cds/finance/mapper/FinCourierCompanyBillDetailMapper.java",78
